name,lon,lat,height
RX_508,-0.079575,52.808973,1.5
RX_509,-0.079527,52.808956,1.5
RX_510,-0.079478,52.808939,1.5
RX_511,-0.07943,52.808923,1.5
RX_512,-0.079382,52.808907,1.5
RX_513,-0.079373,52.808904,1.5
RX_514,-0.079325,52.808886,1.5
RX_515,-0.079276,52.808868,1.5
RX_516,-0.079228,52.808851,1.5
RX_517,-0.07918,52.808834,1.5
RX_518,-0.079133,52.808817,1.5
RX_519,-0.079126,52.808814,1.5
RX_520,-0.07908,52.808796,1.5
RX_521,-0.079034,52.808779,1.5
RX_522,-0.078988,52.808762,1.5
RX_523,-0.078943,52.808745,1.5
RX_524,-0.078895,52.808727,1.5
RX_525,-0.078882,52.808722,1.5
RX_526,-0.078842,52.808707,1.5
RX_527,-0.078796,52.808689,1.5
RX_528,-0.078749,52.808671,1.5
RX_529,-0.078702,52.808653,1.5
RX_530,-0.078654,52.808635,1.5
RX_531,-0.078627,52.808625,1.5
RX_532,-0.078599,52.808614,1.5
RX_533,-0.07855,52.808596,1.5
RX_534,-0.0785,52.808577,1.5
RX_535,-0.078452,52.808559,1.5
RX_536,-0.078403,52.80854,1.5
RX_537,-0.078368,52.808527,1.5
RX_538,-0.078351,52.80852,1.5
RX_539,-0.078304,52.808501,1.5
RX_540,-0.078259,52.808482,1.5
RX_541,-0.078211,52.808463,1.5
RX_542,-0.078165,52.808444,1.5
RX_543,-0.078118,52.808425,1.5
RX_544,-0.078111,52.808423,1.5
RX_545,-0.078061,52.808404,1.5
RX_546,-0.07801,52.808386,1.5
RX_547,-0.07796,52.808367,1.5
RX_548,-0.07791,52.808349,1.5
RX_549,-0.07786,52.808331,1.5
RX_550,-0.077848,52.808327,1.5
RX_551,-0.077804,52.80831,1.5
RX_552,-0.077755,52.808292,1.5
RX_553,-0.077706,52.808274,1.5
RX_554,-0.077658,52.808256,1.5
RX_555,-0.07761,52.808238,1.5
RX_556,-0.077588,52.80823,1.5
RX_557,-0.077558,52.808219,1.5
RX_558,-0.07751,52.808202,1.5
RX_559,-0.077462,52.808185,1.5
RX_560,-0.077415,52.808168,1.5
RX_561,-0.077367,52.808151,1.5
RX_562,-0.077328,52.808137,1.5
RX_563,-0.077315,52.808131,1.5
