meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.0538,51.5502,170.69,RX_3749,0.00011023679114726332
-0.0538,51.5502,169.8,RX_3749,0.00011023679114726332
-0.0538,51.5502,170.13,RX_3749,0.00011023679114726332
-0.0539,51.5502,169.29000000000002,RX_3752,9.137745296530817e-05
-0.0539,51.5502,170.38,RX_3752,9.137745296530817e-05
-0.0539,51.5501,170.34,RX_3754,0.00019196088586074085
-0.054,51.5501,170.42000000000002,RX_3755,8.165539014619396e-05
-0.054,51.5501,170.95,RX_3755,8.165539014619396e-05
-0.054,51.5501,171.3,RX_3755,8.165539014619396e-05
-0.054,51.55,171.44,RX_3758,0.0001549935271234469
-0.0541,51.55,170.49,RX_3761,0.00016860544741783388
-0.0541,51.55,169.84,RX_3761,0.00016860544741783388
-0.0541,51.55,171.06,RX_3761,0.00016860544741783388
-0.0542,51.55,171.84,RX_3762,0.00017176651608176628
-0.0542,51.5499,172.86,RX_3764,8.85975083183827e-05
-0.0542,51.5499,174.72,RX_3764,8.85975083183827e-05
-0.0543,51.5499,172.54000000000002,RX_3765,3.164877071016907e-05
-0.0543,51.5499,173.67000000000002,RX_3765,3.164877071016907e-05
-0.0543,51.5498,173.32999999999998,RX_3768,9.818999284360023e-05
-0.0543,51.5498,174.16,RX_3768,9.818999284360023e-05
-0.0544,51.5498,173.65,RX_3770,8.146846575421807e-05
-0.0544,51.5498,173.3,RX_3770,8.146846575421807e-05
-0.0544,51.5497,174.96,RX_3771,0.00016568280584952825
-0.0545,51.5497,174.05,RX_3773,0.00013930256948661154
-0.0545,51.5497,173.17000000000002,RX_3773,0.00013930256948661154
-0.0545,51.5497,173.76,RX_3773,0.00013930256948661154
-0.0546,51.5497,176.17000000000002,RX_3775,0.00011936459220418722
-0.0546,51.5496,174.07999999999998,RX_3776,0.00015689499432582877
-0.0547,51.5496,173.97,RX_3779,0.00013748014505639468
-0.0547,51.5496,175.44,RX_3779,0.00013748014505639468
-0.0547,51.5496,176.04000000000002,RX_3779,0.00013748014505639468
-0.0548,51.5496,175.16,RX_3781,0.00012304842057500985
-0.0548,51.5496,176.43,RX_3781,0.00012304842057500985
-0.0549,51.5495,175.22,RX_3782,9.241766805051036e-05
-0.0549,51.5495,174.88,RX_3782,9.241766805051036e-05
-0.055,51.5495,174.57,RX_3784,0.00013964465548915142
